dataset,approach,max_depth,cv_mape,test_mape,n_trees,num_trees_phase1,phase1_pct,chosen
medical_insurance,baseline,1,0.4113653340545536,0.3732858691304669,622,,,False
medical_insurance,baseline,2,0.3104036468038452,0.28158864869311884,285,,,False
medical_insurance,baseline,3,0.30241871843738555,0.2859349139168994,208,,,False
medical_insurance,baseline,4,0.30698135785171454,0.2844390539568298,185,,,False
medical_insurance,baseline,5,0.30021909755794696,0.2699140575909521,207,,,True
medical_insurance,baseline,6,0.3007691234164732,0.2701087086788802,213,,,False
medical_insurance,baseline,7,0.3164257001052933,0.27680345056818806,194,,,False
medical_insurance,baseline,8,0.31055681049082906,0.27340601969528233,213,,,False
medical_insurance,baseline,9,0.3183089319097478,0.28915036015534745,186,,,False
medical_insurance,baseline,10,0.3183991438292146,0.2847029632144195,215,,,False
medical_insurance,monotonic,1,0.4095591985767121,0.3686282485126265,671,,,False
medical_insurance,monotonic,2,0.3138090523720751,0.28202544882642505,285,,,False
medical_insurance,monotonic,3,0.30596270169265827,0.2871489631987768,205,,,False
medical_insurance,monotonic,4,0.29684792008111754,0.2744656139404643,205,,,True
medical_insurance,monotonic,5,0.3056168373365057,0.27026175455330154,195,,,False
medical_insurance,monotonic,6,0.30133296744562676,0.2678431892813109,194,,,False
medical_insurance,monotonic,7,0.30030033358566127,0.27265682417699105,181,,,False
medical_insurance,monotonic,8,0.300380650213618,0.2601408426283709,193,,,False
medical_insurance,monotonic,9,0.30035128190588056,0.26523132238891556,193,,,False
medical_insurance,monotonic,10,0.30132020248567254,0.26666393887429196,193,,,False
medical_insurance,progressive,4,0.2946736486734456,0.2641962104135091,224,5.0,0.025,True
medical_insurance,progressive,4,0.29777773694973053,0.2647933592737835,227,10.0,0.05,False
medical_insurance,progressive,4,0.3040983952645643,0.2792136190514348,189,15.0,0.075,False
medical_insurance,progressive,4,0.3023387780481547,0.2747527095921506,215,20.0,0.1,False
medical_insurance,progressive,4,0.30137194407620643,0.26838533586056207,242,25.0,0.125,False
medical_insurance,progressive,4,0.3078969699389617,0.2591041652867547,272,30.0,0.15,False
medical_insurance,progressive,4,0.2988450199508657,0.26248410964742774,252,35.0,0.175,False
medical_insurance,progressive,4,0.3045827534887551,0.26145535656618263,258,41.0,0.2,False
