dataset,approach,max_depth,cv_mape,test_mape,n_trees,num_trees_phase1,phase1_pct,chosen
ames_housing,baseline,4,0.1003601968288421,0.1053198277950286,154,,,True
ames_housing,monotonic,5,0.1041381299495697,0.1023952737450599,141,,,True
ames_housing,progressive,5,0.1034082859754562,0.1006113737821579,138,5.0,0.025,True
california_housing,baseline,9,0.1538218045648052,0.155593118458908,397,,,True
california_housing,monotonic,10,0.1565083914294055,0.1596554066184159,256,,,True
california_housing,progressive,10,0.1512687766043736,0.151073324568081,309,32.0,0.125,True
auto_mpg,baseline,4,0.0811752639734013,0.0849926669209819,97,,,True
auto_mpg,monotonic,4,0.0798702928270833,0.0854200304890777,129,,,True
auto_mpg,progressive,4,0.0795833363827518,0.0825258391446164,104,9.0,0.075,True
concrete_strength,baseline,5,0.0948915263195397,0.0817309407253868,532,,,True
concrete_strength,monotonic,8,0.0993330490723645,0.0885408504013306,217,,,True
concrete_strength,progressive,8,0.0973316342831959,0.0864842751286258,219,5.0,0.025,True
medical_insurance,baseline,5,0.3002190975579469,0.2699140575909521,207,,,True
medical_insurance,monotonic,4,0.2968479200811175,0.2744656139404643,205,,,True
medical_insurance,progressive,4,0.2946736486734456,0.2641962104135091,224,5.0,0.025,True
